Info 0    [19:19:22.135] Starting TS Server
Info 123  [19:19:46.710] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.559697000309825
Info 124  [19:19:46.713] getCompletionData: Get current token: 0.015987999737262726
Info 125  [19:19:46.713] getCompletionData: Is inside comment: 0.050857000052928925
Info 126  [19:19:46.713] getCompletionData: Get previous token: 0.029496999457478523
Info 127  [19:19:46.716] getExportInfoMap: cache hit
Info 128  [19:19:46.723] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 129  [19:19:46.723] collectAutoImports: response is complete
Info 130  [19:19:46.723] collectAutoImports: 6.870616000145674
Info 131  [19:19:46.723] getCompletionData: Semantic work: 10.070653000846505
Info 132  [19:19:46.731] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.6666119992733
Info 133  [19:19:46.733] getCompletionData: Get current token: 0.007635999470949173
Info 134  [19:19:46.733] getCompletionData: Is inside comment: 0.014059001579880714
Info 135  [19:19:46.733] getCompletionData: Get previous token: 0.014066999778151512
Info 136  [19:19:46.735] getExportInfoMap: cache hit
Info 137  [19:19:46.738] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 138  [19:19:46.738] collectAutoImports: response is complete
Info 139  [19:19:46.738] collectAutoImports: 3.4765579998493195
Info 140  [19:19:46.738] getCompletionData: Semantic work: 5.225812001153827
Info 141  [19:19:46.744] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.958877999335527
Info 142  [19:19:46.746] getCompletionData: Get current token: 0.007786000147461891
Info 143  [19:19:46.746] getCompletionData: Is inside comment: 0.015992000699043274
Info 144  [19:19:46.746] getCompletionData: Get previous token: 0.014379000291228294
Info 145  [19:19:46.748] getExportInfoMap: cache hit
Info 146  [19:19:46.752] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 147  [19:19:46.752] collectAutoImports: response is complete
Info 148  [19:19:46.752] collectAutoImports: 3.9805640000849962
Info 149  [19:19:46.752] getCompletionData: Semantic work: 5.7699510008096695
Info 150  [19:19:46.760] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.375709999352694
Info 151  [19:19:46.803] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 152  [19:19:46.811] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 8.735603000968695ms
Info 153  [19:19:46.811] Different program with same set of files
Info 154  [19:19:50.599] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 155  [19:19:50.719] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: true structureIsReused:: SafeModules Elapsed: 120.42685100063682ms
Info 156  [19:19:50.719] Different program with same set of files
Info 157  [19:19:56.252] DirectoryWatcher:: Triggered with /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message/#Message.tsx# :: WatchInfo: /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 158  [19:19:56.252] Elapsed:: 0.39614600129425526ms DirectoryWatcher:: Triggered with /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message/#Message.tsx# :: WatchInfo: /home/beethoven/Templates/MixTechProjects/Magni/client/src/components/Message 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 159  [19:19:57.779] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [19:19:57.799] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 20.124753000214696ms
Info 161  [19:19:57.799] Different program with same set of files
Info 162  [19:19:58.170] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [19:19:58.182] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 11.740309000015259ms
Info 164  [19:19:58.182] Different program with same set of files
Info 165  [19:19:59.920] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [19:19:59.946] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 25.423119001090527ms
Info 167  [19:19:59.946] Different program with same set of files
Info 168  [19:20:00.364] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [19:20:00.381] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 17.101688999682665ms
Info 170  [19:20:00.381] Different program with same set of files
Info 171  [19:20:00.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [19:20:00.496] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 5.701004998758435ms
Info 173  [19:20:00.496] Different program with same set of files
Info 174  [19:20:00.497] getCompletionData: Get current token: 0.0417919997125864
Info 175  [19:20:00.497] getCompletionData: Is inside comment: 0.005966000258922577
Info 176  [19:20:00.497] getCompletionData: Get previous token: 0.05895799957215786
Info 177  [19:20:00.498] getCompletionsAtPosition: isCompletionListBlocker: 0.3945470005273819
Info 178  [19:20:00.501] getExportInfoMap: cache hit
Info 179  [19:20:00.518] collectAutoImports: resolved 16 module specifiers, plus 0 ambient and -332 from cache
Info 180  [19:20:00.518] collectAutoImports: response is complete
Info 181  [19:20:00.518] collectAutoImports: 16.699961001053452
Info 182  [19:20:00.518] getCompletionData: Semantic work: 20.170726999640465
Info 183  [19:20:00.533] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.780965000391006
Info 184  [19:20:00.647] getCompletionData: Get current token: 0.02275400049984455
Info 185  [19:20:00.647] getCompletionData: Is inside comment: 0.00889899954199791
Info 186  [19:20:00.647] getCompletionData: Get previous token: 0.05472500063478947
Info 187  [19:20:00.648] getCompletionsAtPosition: isCompletionListBlocker: 0.01941000111401081
Info 188  [19:20:00.652] getExportInfoMap: cache hit
Info 189  [19:20:00.672] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 123 from cache
Info 190  [19:20:00.672] collectAutoImports: response is complete
Info 191  [19:20:00.672] collectAutoImports: 20.27718099951744
Info 192  [19:20:00.672] getCompletionData: Semantic work: 24.70591700077057
Info 193  [19:20:00.700] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.061496000736952
Info 194  [19:20:00.704] getCompletionData: Get current token: 0.016920000314712524
Info 195  [19:20:00.704] getCompletionData: Is inside comment: 0.0061789993196725845
Info 196  [19:20:00.704] getCompletionData: Get previous token: 0.0423629991710186
Info 197  [19:20:00.704] getCompletionsAtPosition: isCompletionListBlocker: 0.02010899968445301
Info 198  [19:20:00.709] getExportInfoMap: cache hit
Info 199  [19:20:00.723] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 123 from cache
Info 200  [19:20:00.723] collectAutoImports: response is complete
Info 201  [19:20:00.724] collectAutoImports: 14.789989000186324
Info 202  [19:20:00.724] getCompletionData: Semantic work: 19.233153000473976
Info 203  [19:20:00.743] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.662795001640916
Info 204  [19:20:00.749] getCompletionData: Get current token: 0.022777000442147255
Info 205  [19:20:00.749] getCompletionData: Is inside comment: 0.01384500041604042
Info 206  [19:20:00.749] getCompletionData: Get previous token: 0.04787899926304817
Info 207  [19:20:00.749] getCompletionsAtPosition: isCompletionListBlocker: 0.024470999836921692
Info 208  [19:20:00.752] getExportInfoMap: cache hit
Info 209  [19:20:00.765] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 123 from cache
Info 210  [19:20:00.765] collectAutoImports: response is complete
Info 211  [19:20:00.765] collectAutoImports: 12.393334999680519
Info 212  [19:20:00.765] getCompletionData: Semantic work: 15.65004799887538
Info 213  [19:20:00.784] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.394442999735475
Info 214  [19:20:00.788] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 215  [19:20:00.799] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 10.90000499971211ms
Info 216  [19:20:00.799] Different program with same set of files
Info 217  [19:20:00.799] getCompletionData: Get current token: 0.016277000308036804
Info 218  [19:20:00.799] getCompletionData: Is inside comment: 0.006550999358296394
Info 219  [19:20:00.799] getCompletionData: Get previous token: 0.03910300135612488
Info 220  [19:20:00.799] getCompletionsAtPosition: isCompletionListBlocker: 0.015740999951958656
Info 221  [19:20:00.809] getExportInfoMap: cache hit
Info 222  [19:20:00.815] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 223  [19:20:00.815] collectAutoImports: response is complete
Info 224  [19:20:00.815] collectAutoImports: 5.918732998892665
Info 225  [19:20:00.815] getCompletionData: Semantic work: 15.730355000123382
Info 226  [19:20:00.833] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.389219999313354
Info 227  [19:20:00.836] getCompletionData: Get current token: 0.01646600104868412
Info 228  [19:20:00.836] getCompletionData: Is inside comment: 0.005869999527931213
Info 229  [19:20:00.836] getCompletionData: Get previous token: 0.041397999972105026
Info 230  [19:20:00.836] getCompletionsAtPosition: isCompletionListBlocker: 0.023579999804496765
Info 231  [19:20:00.839] getExportInfoMap: cache hit
Info 232  [19:20:00.846] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 233  [19:20:00.846] collectAutoImports: response is complete
Info 234  [19:20:00.846] collectAutoImports: 7.078813999891281
Info 235  [19:20:00.846] getCompletionData: Semantic work: 9.810124000534415
Info 236  [19:20:00.863] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.561910999938846
Info 237  [19:20:00.868] getCompletionData: Get current token: 0.03273000009357929
Info 238  [19:20:00.868] getCompletionData: Is inside comment: 0.013947000727057457
Info 239  [19:20:00.868] getCompletionData: Get previous token: 0.08558399975299835
Info 240  [19:20:00.868] getCompletionsAtPosition: isCompletionListBlocker: 0.039733000099658966
Info 241  [19:20:00.872] getExportInfoMap: cache hit
Info 242  [19:20:00.878] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 243  [19:20:00.878] collectAutoImports: response is complete
Info 244  [19:20:00.878] collectAutoImports: 6.089882999658585
Info 245  [19:20:00.878] getCompletionData: Semantic work: 9.54088799841702
Info 246  [19:20:00.886] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.963987000286579
Info 247  [19:20:00.888] getCompletionData: Get current token: 0.010760998353362083
Info 248  [19:20:00.888] getCompletionData: Is inside comment: 0.0038850009441375732
Info 249  [19:20:00.888] getCompletionData: Get previous token: 0.02556300163269043
Info 250  [19:20:00.888] getCompletionsAtPosition: isCompletionListBlocker: 0.012768000364303589
Info 251  [19:20:00.890] getExportInfoMap: cache hit
Info 252  [19:20:00.893] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 253  [19:20:00.893] collectAutoImports: response is complete
Info 254  [19:20:00.893] collectAutoImports: 3.3901790007948875
Info 255  [19:20:00.893] getCompletionData: Semantic work: 5.352336000651121
Info 256  [19:20:00.900] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.735693000257015
Info 257  [19:20:01.032] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 258  [19:20:01.041] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 8.74366999976337ms
Info 259  [19:20:01.041] Different program with same set of files
Info 260  [19:20:01.041] getCompletionData: Get current token: 0.010933000594377518
Info 261  [19:20:01.041] getCompletionData: Is inside comment: 0.003929000347852707
Info 262  [19:20:01.041] getCompletionData: Get previous token: 0.02663400024175644
Info 263  [19:20:01.041] getCompletionsAtPosition: isCompletionListBlocker: 0.01259700022637844
Info 264  [19:20:01.043] getExportInfoMap: cache hit
Info 265  [19:20:01.047] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 266  [19:20:01.047] collectAutoImports: response is complete
Info 267  [19:20:01.047] collectAutoImports: 3.608439000323415
Info 268  [19:20:01.047] getCompletionData: Semantic work: 5.441990001127124
Info 269  [19:20:01.054] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.907313000410795
Info 270  [19:20:01.236] getCompletionData: Get current token: 0.011048000305891037
Info 271  [19:20:01.236] getCompletionData: Is inside comment: 0.0051830001175403595
Info 272  [19:20:01.236] getCompletionData: Get previous token: 0.028656000271439552
Info 273  [19:20:01.236] getCompletionsAtPosition: isCompletionListBlocker: 0.022916000336408615
Info 274  [19:20:01.238] getExportInfoMap: cache hit
Info 275  [19:20:01.243] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 276  [19:20:01.243] collectAutoImports: response is complete
Info 277  [19:20:01.243] collectAutoImports: 5.389011999592185
Info 278  [19:20:01.243] getCompletionData: Semantic work: 7.416578000411391
Info 279  [19:20:01.255] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.069079000502825
Info 280  [19:20:01.260] getCompletionData: Get current token: 0.019207999110221863
Info 281  [19:20:01.260] getCompletionData: Is inside comment: 0.0084610003978014
Info 282  [19:20:01.260] getCompletionData: Get previous token: 0.05948899872601032
Info 283  [19:20:01.260] getCompletionsAtPosition: isCompletionListBlocker: 0.017374999821186066
Info 284  [19:20:01.263] getExportInfoMap: cache hit
Info 285  [19:20:01.270] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 286  [19:20:01.270] collectAutoImports: response is complete
Info 287  [19:20:01.270] collectAutoImports: 6.573975998908281
Info 288  [19:20:01.270] getCompletionData: Semantic work: 9.846565999090672
Info 289  [19:20:01.283] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.094784000888467
Info 290  [19:20:01.286] getCompletionData: Get current token: 0.01668199896812439
Info 291  [19:20:01.287] getCompletionData: Is inside comment: 0.0048700012266635895
Info 292  [19:20:01.287] getCompletionData: Get previous token: 0.03740200027823448
Info 293  [19:20:01.287] getCompletionsAtPosition: isCompletionListBlocker: 0.01743599958717823
Info 294  [19:20:01.290] getExportInfoMap: cache hit
Info 295  [19:20:01.295] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 296  [19:20:01.295] collectAutoImports: response is complete
Info 297  [19:20:01.295] collectAutoImports: 5.129336999729276
Info 298  [19:20:01.295] getCompletionData: Semantic work: 8.33496200107038
Info 299  [19:20:01.305] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.81287599913776
Info 300  [19:20:01.556] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 301  [19:20:01.574] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 18.304847000166774ms
Info 302  [19:20:01.574] Different program with same set of files
Info 303  [19:20:03.878] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 304  [19:20:03.890] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 12.46917299926281ms
Info 305  [19:20:03.890] Different program with same set of files
Info 306  [19:20:03.891] getCompletionData: Get current token: 0.030838999897241592
Info 307  [19:20:03.891] getCompletionData: Is inside comment: 0.007321000099182129
Info 308  [19:20:03.891] getCompletionData: Get previous token: 0.06975499913096428
Info 309  [19:20:03.891] getCompletionsAtPosition: isCompletionListBlocker: 0.009038001298904419
Info 310  [19:20:03.891] Returning an empty list because completion was requested in an invalid position.
Info 311  [19:20:03.893] getCompletionData: Get current token: 0.02916800044476986
Info 312  [19:20:03.893] getCompletionData: Is inside comment: 0.010954000055789948
Info 313  [19:20:03.893] getCompletionData: Get previous token: 0.05788700096309185
Info 314  [19:20:03.894] getCompletionsAtPosition: isCompletionListBlocker: 0.0053439997136592865
Info 315  [19:20:03.894] Returning an empty list because completion was requested in an invalid position.
Info 316  [19:20:03.896] getCompletionData: Get current token: 0.025325998663902283
Info 317  [19:20:03.896] getCompletionData: Is inside comment: 0.007840000092983246
Info 318  [19:20:03.896] getCompletionData: Get previous token: 0.07475700043141842
Info 319  [19:20:03.896] getCompletionsAtPosition: isCompletionListBlocker: 0.004846999421715736
Info 320  [19:20:03.896] Returning an empty list because completion was requested in an invalid position.
Info 321  [19:20:03.896] getCompletionData: Get current token: 0.01772799901664257
Info 322  [19:20:03.896] getCompletionData: Is inside comment: 0.005024999380111694
Info 323  [19:20:03.896] getCompletionData: Get previous token: 0.04014500044286251
Info 324  [19:20:03.896] getCompletionsAtPosition: isCompletionListBlocker: 0.010532999411225319
Info 325  [19:20:03.896] Returning an empty list because completion was requested in an invalid position.
Info 326  [19:20:04.043] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 327  [19:20:04.052] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 8.139212001115084ms
Info 328  [19:20:04.052] Different program with same set of files
Info 329  [19:20:04.052] getCompletionData: Get current token: 0.020674999803304672
Info 330  [19:20:04.052] getCompletionData: Is inside comment: 0.005404001101851463
Info 331  [19:20:04.052] getCompletionData: Get previous token: 0.04367399960756302
Info 332  [19:20:04.052] getCompletionsAtPosition: isCompletionListBlocker: 0.004803000018000603
Info 333  [19:20:04.052] Returning an empty list because completion was requested in an invalid position.
Info 334  [19:20:04.054] getCompletionData: Get current token: 0.03029399923980236
Info 335  [19:20:04.054] getCompletionData: Is inside comment: 0.0073979999870061874
Info 336  [19:20:04.054] getCompletionData: Get previous token: 0.04824399948120117
Info 337  [19:20:04.054] getCompletionsAtPosition: isCompletionListBlocker: 0.003891000524163246
